file	declaration_line	source_name	proof_start	proof_end	physical_lines	nonblank_code_lines	review_status	priority	recommendation
ComplexAnalysis/PringsheimVivanti.lean	262	exists_gt_summable_of_forall_nonneg_of_differentiableOn_union_ball	268	484	217	217	implemented	high	Separate disc geometry, translated coefficients, and nonnegative binomial-series summability.
ComplexAnalysis/MittagLeffler.lean	113	mittagLeffler	117	317	201	194	implemented	high	Extract exhaustion layers, corrected-series holomorphy, and the principal-part germ lemma.
ComplexAnalysis/Hadamard.lean	109	hadamard_factorization	116	295	180	173	implemented	medium	Extract logarithmic-quotient growth and polynomiality from real-part bounds on arbitrarily large circles.
ComplexAnalysis/KoebeGrowth.lean	132	distortion_le_of_class_S	135	306	172	166	implemented	medium	Separate radial logarithmic derivative, differential bounds, and scalar integration/exponentiation.
ComplexAnalysis/RieszFactorization.lean	147	summable_analyticOrderAt_toNat_mul_one_sub_norm_of_bounded_of_ne_zero	151	296	146	143	implemented	high	Place weighted Jensen/Blaschke estimates upstream of both consumers; derive unweighted summability.
ComplexAnalysis/Koebe.lean	64	norm_taylorCoeff_two_le	65	205	141	135	length flag only		
ComplexAnalysis/KoebeDistortion.lean	101	norm_one_sub_normSq_mul_deriv_deriv_div_deriv_sub_two_conj_le	104	238	135	132	length flag only		
ComplexAnalysis/Blaschke.lean	291	summable_one_sub_norm_of_bounded_of_ne_zero	293	426	134	129	implemented	high	Share the Jensen/Blaschke-condition proof with its multiplicity-weighted version.
ComplexAnalysis/Cycle/Parallelogram.lean	615	curveIndex_parallelogramLoop_eq_one	617	744	128	127	implemented	medium	Separate four edge-turning bounds, total-turning bounds, and index identification.
ComplexAnalysis/RieszFactorization.lean	715	exists_rieszFactorization	721	847	127	124	length flag only		
ComplexAnalysis/DirichletDisc.lean	121	tendsto_poissonIntegral	123	243	121	116	length flag only		
ComplexAnalysis/Runge/Kernel.lean	67	exists_finset_approx_setIntegral_inv_sub	71	180	110	107	length flag only		
ComplexAnalysis/Perron.lean	53	SubharmonicOn.le_of_frontier	55	163	109	106	length flag only		
ComplexAnalysis/RiemannMapping.lean	201	ball_subset_image_of_forall_norm_deriv_le	203	307	105	100	length flag only		
ComplexAnalysis/ThreeCircles.lean	69	norm_le_rpow_mul_rpow_of_nonvanishing	76	180	105	98	length flag only		
Pochhammer/IncompleteMellin.lean	463	regIncompleteMellin_eq_taylor_peano	470	572	103	103	implemented	high	Add congruence and finite-sum linearity lemmas; evaluate the Taylor polynomial separately.
ComplexAnalysis/AreaTheorem.lean	251	circleIntegral_deriv_div_sub_sigma	255	356	102	102	length flag only		
